"region","byggnadstyp","strandtyp","typ av område","år","Antal byggnader inom 100 meter från strand"
"00 Riket","bostad","hav","inom tätort","2018",39695
"00 Riket","bostad","hav","inom tätort","2019",39919
"00 Riket","bostad","hav","inom tätort","2020",40685
"00 Riket","bostad","hav","inom tätort","2021",40815
"00 Riket","bostad","hav","inom tätort","2022",41139
"00 Riket","bostad","hav","inom tätort","2023",41824
"00 Riket","bostad","hav","inom formellt skyddad natur","2018",3744
"00 Riket","bostad","hav","inom formellt skyddad natur","2019",3757
"00 Riket","bostad","hav","inom formellt skyddad natur","2020",3746
"00 Riket","bostad","hav","inom formellt skyddad natur","2021",3753
"00 Riket","bostad","hav","inom formellt skyddad natur","2022",3785
"00 Riket","bostad","hav","inom formellt skyddad natur","2023",3775
"00 Riket","bostad","hav","totalt","2018",114691
"00 Riket","bostad","hav","totalt","2019",115180
"00 Riket","bostad","hav","totalt","2020",115359
"00 Riket","bostad","hav","totalt","2021",115558
"00 Riket","bostad","hav","totalt","2022",115945
"00 Riket","bostad","hav","totalt","2023",116142
"00 Riket","bostad","inlandsvatten","inom tätort","2018",105883
"00 Riket","bostad","inlandsvatten","inom tätort","2019",106372
"00 Riket","bostad","inlandsvatten","inom tätort","2020",108206
"00 Riket","bostad","inlandsvatten","inom tätort","2021",108551
"00 Riket","bostad","inlandsvatten","inom tätort","2022",110189
"00 Riket","bostad","inlandsvatten","inom tätort","2023",111419
"00 Riket","bostad","inlandsvatten","inom formellt skyddad natur","2018",2828
"00 Riket","bostad","inlandsvatten","inom formellt skyddad natur","2019",2882
"00 Riket","bostad","inlandsvatten","inom formellt skyddad natur","2020",2875
"00 Riket","bostad","inlandsvatten","inom formellt skyddad natur","2021",2881
"00 Riket","bostad","inlandsvatten","inom formellt skyddad natur","2022",2840
"00 Riket","bostad","inlandsvatten","inom formellt skyddad natur","2023",2828
"00 Riket","bostad","inlandsvatten","totalt","2018",337451
"00 Riket","bostad","inlandsvatten","totalt","2019",338683
"00 Riket","bostad","inlandsvatten","totalt","2020",338986
"00 Riket","bostad","inlandsvatten","totalt","2021",339452
"00 Riket","bostad","inlandsvatten","totalt","2022",342619
"00 Riket","bostad","inlandsvatten","totalt","2023",343160
